fid,station_id,date_from,date_to,altitude,latitude,longitude,name,state,1
"58","3857",1994/01/01,2020/12/31,"886",47.6362,10.3892,Oy-Mittelberg-Petersthal,Bayern,885.280029296875
"59","3875",1950/01/01,2020/12/31,"549",49.151,11.6896,Parsberg/Oberpfalz-Eglwang,Bayern,546.859985351562
"60","3975",1950/01/01,2020/12/31,"522",49.4777,11.5357,Pommelsbrunn-Mittelburg,Bayern,520.440002441406
"61","4104",1879/01/01,2020/12/31,"365",49.0425,12.1019,Regensburg,Bayern,355.019989013672
"62","4261",1881/01/01,2020/12/31,"442",47.8753,12.128,Rosenheim,Bayern,441.549987792969
"63","4280",2002/01/01,2020/12/31,"386",49.2162,11.1035,Roth,Bayern,385.690002441406
"64","4287",1948/01/01,2020/12/31,"415",49.3848,10.1732,Rothenburg ob der Tauber,Bayern,407.829986572266
"65","4354",1986/01/01,2020/12/31,"457",48.7832,13.3146,Saldenburg-Entschenreuth,Bayern,454.179992675781
"66","4377",1965/01/01,2020/12/31,"518",50.3518,10.0034,Sandberg,Bayern,510
"67","4559",1997/01/01,2020/12/31,"398",49.1644,12.6175,Schorndorf-Knöbling,Bayern,396.130004882812
"68","4592",1949/01/01,2020/12/31,"356",49.3278,12.0871,Schwandorf,Bayern,356.369995117188
"69","4704",1989/01/01,2019/12/31,"507",47.5776,9.7404,Sigmarszell-Zeisertsweiler,Bayern,509.049987792969
"70","4706",1981/01/01,2020/12/31,"358",48.2718,13.0273,Simbach/Inn,Bayern,357.459991455078
"71","4911",1883/01/01,2020/12/31,"351",48.8275,12.5597,Straubing,Bayern,350.609985351562
"72","5017",1948/01/01,2020/12/31,"633",50.4002,11.3888,Teuschnitz,Bayern,633.260009765625
"73","5046",1967/01/01,2020/12/31,"501",49.8576,12.3542,Tirschenreuth-Lodermühl,Bayern,499.970001220703
"74","5111",1915/01/01,2020/12/31,"560",48.0311,12.5396,Trostberg,Bayern,557.890014648438
"75","5149",1937/01/01,2020/12/31,"306",49.5741,10.1915,Gollhofen,Bayern,306.279998779297
"76","5397",1881/01/01,2020/12/31,"440",49.6662,12.1844,Weiden,Bayern,439.459991455078
"77","5404",1885/01/01,2020/12/31,"477",48.4024,11.6946,Weihenstephan-Dürnast,Bayern,477.910003662109
"78","5440",1879/01/01,2020/12/31,"439",49.0115,10.9308,Weißenburg-Emetzheim,Bayern,438.890014648438
"79","5538",2000/01/01,2020/12/31,"551",47.8827,11.1576,Wielenbach (Demollstr.),Bayern,549.159973144531
"80","5705",1881/01/01,2020/12/31,"268",49.7704,9.9576,Würzburg,Bayern,261.329986572266
"81","5792",1901/01/01,2020/12/31,"965",47.421,10.9848,Zugspitze,Bayern,2940.11010742188
"82","5800",1998/01/01,2020/12/31,"615",49.028,13.2385,Zwiesel,Bayern,614.719970703125
"83","5856",1997/01/03,2020/12/31,"476",48.5451,13.3532,Fürstenzell,Bayern,476.869995117188
"84","5941",1938/01/01,2019/12/31,"686",47.6754,12.4698,Reit im Winkl,Bayern,685.510009765625
"85","6158",2000/01/01,2020/12/31,"455",49.2247,10.6084,Weidenbach-Weiherschneidbach,Bayern,453.989990234375
"86","6312",2005/01/01,2019/12/31,"362",49.5314,10.6418,Markt Erlbach-Mosbach,Bayern,359.540008544922
"87","6336",2006/01/01,2020/12/31,"288",50.0132,9.654,Lohr/Main-Halsbach,Bayern,287.980010986328
"88","6346",2006/01/01,2020/12/31,"531",48.207,11.2035,Maisach-Galgen,Bayern,531.039978027344
"89","6347",2006/01/01,2020/12/31,"304",50.0579,10.2972,Schonungen-Mainberg,Bayern,303.640014648438
"90","7075",2006/01/01,2020/12/31,"429",48.702,11.8493,Elsendorf-Horneck,Bayern,422.570007324219
"91","7105",2006/01/01,2020/12/31,"719",47.835,12.6548,Siegsdorf-Höll,Bayern,716.849975585938
"92","7319",2006/01/01,2020/12/31,"435",48.7374,10.7393,Donauwörth-Osterweiler,Bayern,434.470001220703
"93","7350",2007/01/01,2019/12/31,"585",49.1088,12.8231,Prackenbach-Neuhäusl,Bayern,589.97998046875
"94","7369",2007/11/01,2020/12/31,"475",49.1623,10.3661,Feuchtwangen-Heilbronn,Bayern,475.049987792969
"95","7370",2006/12/11,2020/12/31,"499",49.391,12.6838,Waldmünchen,Bayern,494.910003662109
"96","7394",2006/06/01,2020/12/31,"622",50.0315,11.9745,Wunsiedel-Schönbrunn,Bayern,621.909973144531
"97","7395",2007/12/01,2020/12/31,"351",48.6595,12.5388,Gottfrieding,Bayern,350.459991455078
"98","7412",2006/10/01,2020/12/31,"340",50.0083,9.4238,Neuhütten/Spessart,Bayern,336.529998779297
"99","7424",2007/01/01,2020/12/31,"457",47.7724,12.9073,Piding,Bayern,456.279998779297
"100","7431",2008/01/01,2020/12/31,"604",48.013,11.5524,Oberhaching-Laufzorn,Bayern,603.799987792969
"101","13710",2009/01/01,2020/12/31,"490",48.5734,12.2576,Landshut-Reithof,Bayern,489.040008544922
"102","15555",2017/01/01,2020/12/31,"815",47.8761,10.5849,Kaufbeuren-Oberbeuren,Bayern,815.799987792969
