station_id,fname,pname
6336,jahreswerte_KL_06336_20060101_20191231_hist.zip,produkt_klima_jahr_20060101_20191231_06336.txt
6346,jahreswerte_KL_06346_20060101_20191231_hist.zip,produkt_klima_jahr_20060101_20191231_06346.txt
6347,jahreswerte_KL_06347_20060101_20191231_hist.zip,produkt_klima_jahr_20060101_20191231_06347.txt
7075,jahreswerte_KL_07075_20060101_20191231_hist.zip,produkt_klima_jahr_20060101_20191231_07075.txt
7105,jahreswerte_KL_07105_20060101_20191231_hist.zip,produkt_klima_jahr_20060101_20191231_07105.txt
7319,jahreswerte_KL_07319_20060101_20191231_hist.zip,produkt_klima_jahr_20060101_20191231_07319.txt
7350,jahreswerte_KL_07350_20070101_20191231_hist.zip,produkt_klima_jahr_20070101_20191231_07350.txt
7369,jahreswerte_KL_07369_20080101_20191231_hist.zip,produkt_klima_jahr_20080101_20191231_07369.txt
7370,jahreswerte_KL_07370_20070101_20191231_hist.zip,produkt_klima_jahr_20070101_20191231_07370.txt
7394,jahreswerte_KL_07394_20070101_20191231_hist.zip,produkt_klima_jahr_20070101_20191231_07394.txt
7395,jahreswerte_KL_07395_20090101_20191231_hist.zip,produkt_klima_jahr_20090101_20191231_07395.txt
7412,jahreswerte_KL_07412_20070101_20191231_hist.zip,produkt_klima_jahr_20070101_20191231_07412.txt
7424,jahreswerte_KL_07424_20070101_20191231_hist.zip,produkt_klima_jahr_20070101_20191231_07424.txt
7431,jahreswerte_KL_07431_20080101_20191231_hist.zip,produkt_klima_jahr_20080101_20191231_07431.txt
13710,jahreswerte_KL_13710_20090101_20191231_hist.zip,produkt_klima_jahr_20090101_20191231_13710.txt
15555,jahreswerte_KL_15555_20170101_20191231_hist.zip,produkt_klima_jahr_20170101_20191231_15555.txt
